"transaction_id","sample_id","transaction_type","transaction_amount"
52346430,1144,"REBILL",29.95
52346431,1149,"REBILL",32.95
52346432,1149,"REBILL",32.95
52346433,1149,"REBILL",32.95
52346434,1149,"REBILL",32.95
52346435,1149,"REBILL",32.95
52346436,1149,"REBILL",32.95
52346437,1149,"REBILL",32.95
52346438,1149,"REBILL",32.95
52346439,1149,"REBILL",32.95
52346440,1149,"REBILL",32.95
52346441,1154,"REBILL",29.95
52346442,1174,"REBILL",24.95
52346443,1174,"REBILL",24.95
52346444,1174,"REBILL",24.95
52346445,1174,"REBILL",24.95
52346446,1178,"REFUND",-32.95
52346447,1178,"REFUND",-32.95
52346448,1216,"REBILL",24.95
52346449,1216,"REBILL",24.95
52346450,1218,"REBILL",29.95
52346451,1297,"REBILL",29.95
52346452,1297,"REBILL",29.95
52346453,1319,"REBILL",19.95
52346454,1319,"REBILL",19.95
52346455,1319,"REBILL",19.95
52346456,1319,"REBILL",19.95
52346457,1363,"REBILL",24.95
52346458,1410,"REBILL",24.95
52346459,1440,"REBILL",24.95
52346460,1445,"REBILL",19.95
52346461,1446,"REBILL",29.95
52346462,1446,"REBILL",29.95
52346463,1480,"CHARGEBACK",-29.95
52346464,1488,"REBILL",24.95
52346465,1488,"REBILL",24.95
52346466,1488,"REBILL",24.95
52346467,1488,"REBILL",24.95
52346468,1505,"REBILL",24.95
52346469,1505,"REBILL",24.95
52346470,1542,"REBILL",24.95
52346471,1542,"REBILL",24.95
52346472,1543,"REBILL",32.95
52346473,1567,"REBILL",32.95
52346474,1567,"REBILL",32.95
52346475,1614,"REBILL",24.95
52346476,1677,"REBILL",19.95
52346477,1677,"REBILL",19.95
52346478,1716,"REBILL",39.95
52346479,1725,"REBILL",24.95
52346480,1725,"REBILL",24.95
52346481,1738,"REBILL",29.95
52346482,1738,"REBILL",29.95
52346483,1738,"REBILL",29.95
52346484,1738,"REBILL",29.95
52346485,1738,"REBILL",29.95
52346486,1767,"REBILL",24.95
52346487,1813,"REBILL",29.95
52346488,1921,"REBILL",24.95
52346489,1921,"REBILL",24.95
52346490,1949,"REBILL",24.95
52346491,1949,"REBILL",24.95
52346492,1965,"REBILL",24.95
52346493,1972,"REBILL",29.95
52346494,1972,"REBILL",29.95
52346495,1996,"REBILL",29.95
52346496,2035,"CHARGEBACK",-32.95
52346497,2037,"REBILL",32.95
52346498,2058,"REBILL",29.95
52346499,2058,"REBILL",29.95
52346500,2059,"REBILL",24.95
52346501,2070,"REBILL",39.95
52346502,2070,"REBILL",39.95
52346503,2070,"REBILL",39.95
52346504,2117,"REBILL",24.95
52346505,2121,"REBILL",39.95
52346506,2121,"REBILL",39.95
52346507,2121,"REBILL",39.95
52346508,2158,"REBILL",24.95
52346509,2181,"REBILL",24.95
52346510,2181,"REBILL",24.95
52346511,2181,"REBILL",24.95
52346512,2181,"REBILL",24.95
52346513,2181,"REBILL",24.95
52346514,2181,"REBILL",24.95
52346515,2181,"REBILL",24.95
52346516,2181,"REBILL",24.95
52346517,2181,"REBILL",24.95
52346518,2192,"CHARGEBACK",-19.95
52346519,2223,"REBILL",24.95
52346520,2247,"REBILL",32.95
52346521,2247,"REBILL",32.95
52346522,2248,"REBILL",39.95
52346523,2275,"REBILL",29.95
52346524,2330,"REBILL",24.95
52346525,2428,"REBILL",39.95
52346526,2451,"REBILL",24.95
52346527,2471,"REBILL",24.95
52346528,2497,"REBILL",24.95
52346529,2497,"REBILL",24.95
52346530,2497,"REBILL",24.95
52346531,2499,"REBILL",19.95
52346532,2499,"REBILL",19.95
52346533,2499,"REBILL",19.95
52346534,2499,"REBILL",19.95
52346535,2499,"REBILL",19.95
52346536,2499,"REBILL",19.95
52346537,2499,"REBILL",19.95
52346538,2501,"REBILL",39.95
52346539,2531,"REBILL",29.95
52346540,2531,"REBILL",29.95
52346541,2531,"REBILL",29.95
52346542,2552,"REBILL",32.95
52346543,2552,"REBILL",32.95
52346544,2597,"REBILL",24.95
52346545,2598,"REBILL",24.95
52346546,2598,"REBILL",24.95
52346547,2612,"REBILL",19.95
52346548,2612,"REBILL",19.95
52346549,2612,"REBILL",19.95
52346550,2612,"REBILL",19.95
52346551,2613,"REBILL",24.95
52346552,2613,"REBILL",24.95
52346553,2613,"REBILL",24.95
52346554,2615,"REBILL",24.95
52346555,2615,"REBILL",24.95
52346556,2615,"REBILL",24.95
52346557,2615,"REBILL",24.95
52346558,2615,"REBILL",24.95
52346559,2615,"REBILL",24.95
52346560,2615,"REBILL",24.95
52346561,2615,"REBILL",24.95
52346562,2615,"REBILL",24.95
52346563,2615,"REBILL",24.95
52346564,2615,"REBILL",24.95
52346565,2615,"REBILL",24.95
52346566,2615,"REBILL",24.95
52346567,2615,"REBILL",24.95
52346568,2615,"REBILL",24.95
52346569,2615,"REBILL",24.95
52346570,2623,"REBILL",32.95
52346571,2623,"REBILL",32.95
52346572,2637,"REBILL",29.95
52346573,2637,"REBILL",29.95
52346574,2642,"REBILL",29.95
52346575,2713,"CHARGEBACK",-32.95
52346576,2713,"CHARGEBACK",-32.95
52346577,2764,"REBILL",19.95
52346578,2764,"REBILL",19.95
52346579,2764,"REBILL",19.95
52346580,2764,"REBILL",19.95
52346581,2764,"REBILL",19.95
52346582,2764,"REBILL",19.95
52346583,2764,"REBILL",19.95
52346584,2764,"REBILL",19.95
52346585,2764,"REBILL",19.95
52346586,2784,"REBILL",39.95
52346587,2808,"REBILL",29.95
52346588,2810,"REBILL",39.95
52346589,2812,"REBILL",19.95
52346590,2812,"REBILL",19.95
52346591,2812,"REBILL",19.95
52346592,2812,"REBILL",19.95
52346593,2812,"REBILL",19.95
52346594,2812,"REBILL",19.95
52346595,2812,"REBILL",19.95
52346596,2812,"REBILL",19.95
52346597,2812,"REBILL",19.95
52346598,2812,"REBILL",19.95
52346599,2812,"REBILL",19.95
52346600,2812,"REBILL",19.95
52346601,2812,"REBILL",19.95
52346602,2812,"REBILL",19.95
52346603,2812,"REBILL",19.95
52346604,2818,"REBILL",29.95
52346605,2829,"REBILL",24.95
52346606,2829,"REBILL",24.95
52346607,2829,"REBILL",24.95
52346608,2829,"REBILL",24.95
52346609,2829,"REBILL",24.95
52346610,2829,"REBILL",24.95
52346611,2829,"REBILL",24.95
52346612,2829,"REBILL",24.95
52346613,2829,"REBILL",24.95
52346614,2829,"REBILL",24.95
52346615,2829,"REBILL",24.95
52346616,2834,"REBILL",29.95
52346617,2834,"REBILL",29.95
52346618,2853,"REBILL",24.95
52346619,2853,"REBILL",24.95
52346620,2853,"REBILL",24.95
52346621,2853,"REBILL",24.95
52346622,2853,"REBILL",24.95
52346623,2853,"REBILL",24.95
52346624,2853,"REBILL",24.95
52346625,2857,"REBILL",32.95
52346626,2857,"REBILL",32.95
52346627,2858,"REBILL",24.95
52346628,2880,"REFUND",-39.95
52346629,2880,"REFUND",-39.95
52346630,2880,"REFUND",-39.95
52346631,2920,"REFUND",-19.95
52346632,2922,"REBILL",19.95
52346633,2922,"REBILL",19.95
52346634,2922,"REBILL",19.95
52346635,2922,"REBILL",19.95
52346636,2922,"REBILL",19.95
52346637,2979,"REFUND",-24.95
52346638,2979,"REFUND",-24.95
52346639,2979,"REFUND",-24.95
52346640,2981,"REBILL",29.95
52346641,3041,"REFUND",-19.95
52346642,3123,"REBILL",39.95
52346643,3123,"REBILL",39.95
52346644,3123,"REBILL",39.95
52346645,3126,"REBILL",29.95
52346646,3168,"REBILL",32.95
52346647,3168,"REBILL",32.95
52346648,3180,"REBILL",29.95
52346649,3217,"REBILL",39.95
52346650,3217,"REBILL",39.95
52346651,3247,"REBILL",29.95
52346652,3247,"REBILL",29.95
52346653,3298,"REBILL",32.95
52346654,3312,"REBILL",29.95
52346655,3312,"REBILL",29.95
52346656,3312,"REBILL",29.95
52346657,3312,"REBILL",29.95
52346658,3314,"REBILL",29.95
52346659,3314,"REBILL",29.95
52346660,3334,"REBILL",24.95
52346661,3334,"REBILL",24.95
52346662,3334,"REBILL",24.95
52346663,3346,"REBILL",39.95
52346664,3346,"REBILL",39.95
52346665,3372,"REBILL",24.95
52346666,3372,"REBILL",24.95
52346667,3372,"REBILL",24.95
52346668,3381,"REBILL",29.95
52346669,3381,"REBILL",29.95
52346670,3458,"CHARGEBACK",-19.95
52346671,3474,"REBILL",24.95
52346672,3526,"REBILL",24.95
52346673,3526,"REBILL",24.95
52346674,3526,"REBILL",24.95
52346675,3526,"REBILL",24.95
52346676,3526,"REBILL",24.95
52346677,3526,"REBILL",24.95
52346678,3539,"REBILL",32.95
52346679,3539,"REBILL",32.95
52346680,3539,"REBILL",32.95
52346681,3539,"REBILL",32.95
52346682,3542,"CHARGEBACK",-39.95
52346683,3542,"CHARGEBACK",-39.95
52346684,3545,"REBILL",24.95
52346685,3571,"REBILL",24.95
52346686,3589,"REBILL",32.95
52346687,3589,"REBILL",32.95
52346688,3596,"REBILL",24.95
52346689,3596,"REBILL",24.95
52346690,3612,"REBILL",24.95
52346691,3612,"REBILL",24.95
52346692,3612,"REBILL",24.95
52346693,3612,"REBILL",24.95
52346694,3612,"REBILL",24.95
52346695,3640,"REBILL",19.95
52346696,3651,"REBILL",24.95
52346697,3651,"REBILL",24.95
52346698,3678,"REBILL",24.95
52346699,3678,"REBILL",24.95
52346700,3702,"REBILL",24.95
52346701,3704,"REBILL",19.95
52346702,3704,"REBILL",19.95
52346703,3721,"REBILL",39.95
52346704,3721,"REBILL",39.95
52346705,3724,"REBILL",39.95
52346706,3749,"REBILL",32.95
52346707,3749,"REBILL",32.95
52346708,3749,"REBILL",32.95
52346709,3749,"REBILL",32.95
52346710,3774,"REBILL",19.95
52346711,3794,"REBILL",24.95
52346712,3834,"REBILL",24.95
52346713,3850,"REBILL",24.95
52346714,3850,"REBILL",24.95
52346715,3850,"REBILL",24.95
52346716,3850,"REBILL",24.95
52346717,3850,"REBILL",24.95
52346718,3860,"REBILL",39.95
52346719,3890,"REBILL",19.95
52346720,3890,"REBILL",19.95
52346721,3891,"REBILL",24.95
52346722,3922,"REBILL",24.95
52346723,3922,"REBILL",24.95
52346724,3922,"REBILL",24.95
52346725,3922,"REBILL",24.95
52346726,3922,"REBILL",24.95
52346727,3922,"REBILL",24.95
52346728,3922,"REBILL",24.95
52346729,3922,"REBILL",24.95
52346730,3959,"REBILL",29.95
52346731,3968,"REBILL",32.95
52346732,3968,"REBILL",32.95
52346733,3968,"REBILL",32.95
52346734,3968,"REBILL",32.95
52346735,3974,"REBILL",39.95
52346736,3975,"REBILL",39.95
52346737,3978,"REBILL",29.95
52346738,3978,"REBILL",29.95
52346739,3978,"REBILL",29.95
52346740,3978,"REBILL",29.95
52346741,4016,"REBILL",29.95
52346742,4016,"REBILL",29.95
52346743,4016,"REBILL",29.95
52346744,4016,"REBILL",29.95
52346745,4073,"REBILL",32.95
52346746,4073,"REBILL",32.95
52346747,4073,"REBILL",32.95
52346748,4073,"REBILL",32.95
52346749,4073,"REBILL",32.95
52346750,4073,"REBILL",32.95
52346751,4073,"REBILL",32.95
52346752,4073,"REBILL",32.95
52346753,4073,"REBILL",32.95
52346754,4073,"REBILL",32.95
52346755,4073,"REBILL",32.95
52346756,4073,"REBILL",32.95
52346757,4088,"REBILL",32.95
52346758,4088,"REBILL",32.95
52346759,4088,"REBILL",32.95
52346760,4088,"REBILL",32.95
52346761,4104,"REBILL",24.95
52346762,4104,"REBILL",24.95
52346763,4105,"REBILL",24.95
52346764,4110,"REBILL",24.95
52346765,4134,"REBILL",39.95
52346766,4160,"REFUND",-39.95
52346767,4170,"REBILL",24.95
52346768,4170,"REBILL",24.95
52346769,4170,"REBILL",24.95
52346770,4217,"REBILL",32.95
52346771,4245,"REBILL",39.95
52346772,4249,"REBILL",39.95
52346773,4249,"REBILL",39.95
52346774,4255,"REBILL",19.95
52346775,4255,"REBILL",19.95
52346776,4256,"REBILL",24.95
52346777,4256,"REBILL",24.95
52346778,4256,"REBILL",24.95
52346779,4274,"REBILL",24.95
52346780,4274,"REBILL",24.95
52346781,4274,"REBILL",24.95
52346782,4274,"REBILL",24.95
52346783,4286,"REBILL",32.95
52346784,4286,"REBILL",32.95
52346785,4286,"REBILL",32.95
52346786,4286,"REBILL",32.95
52346787,4293,"REBILL",24.95
52346788,4293,"REBILL",24.95
52346789,4304,"REBILL",29.95
52346790,4318,"REBILL",19.95
52346791,4318,"REBILL",19.95
52346792,4318,"REBILL",19.95
52346793,4318,"REBILL",19.95
52346794,4356,"REBILL",32.95
52346795,4356,"REBILL",32.95
52346796,4356,"REBILL",32.95
52346797,4361,"REBILL",29.95
52346798,4361,"REBILL",29.95
52346799,4366,"REBILL",39.95
52346800,4366,"REBILL",39.95
52346801,4393,"REFUND",-24.95
52346802,4393,"REFUND",-24.95
52346803,4393,"REFUND",-24.95
52346804,4393,"REFUND",-24.95
52346805,4416,"REBILL",24.95
52346806,4416,"REBILL",24.95
52346807,4416,"REBILL",24.95
52346808,4435,"REBILL",24.95
52346809,4435,"REBILL",24.95
52346810,4435,"REBILL",24.95
52346811,4435,"REBILL",24.95
52346812,4435,"REBILL",24.95
52346813,4435,"REBILL",24.95
52346814,4446,"CHARGEBACK",-19.95
52346815,4446,"CHARGEBACK",-19.95
52346816,4446,"CHARGEBACK",-19.95
52346817,4446,"CHARGEBACK",-19.95
52346818,4461,"REBILL",32.95
52346819,4461,"REBILL",32.95
52346820,4466,"REBILL",29.95
52346821,4466,"REBILL",29.95
52346822,4466,"REBILL",29.95
52346823,4466,"REBILL",29.95
52346824,4466,"REBILL",29.95
52346825,4488,"REBILL",19.95
52346826,4488,"REBILL",19.95
52346827,4488,"REBILL",19.95
52346828,4488,"REBILL",19.95
52346829,4488,"REBILL",19.95
52346830,4488,"REBILL",19.95
52346831,4488,"REBILL",19.95
52346832,4488,"REBILL",19.95
52346833,4488,"REBILL",19.95
52346834,4488,"REBILL",19.95
52346835,4568,"REBILL",29.95
52346836,4568,"REBILL",29.95
52346837,4630,"REFUND",-24.95
52346838,4650,"REBILL",24.95
52346839,4650,"REBILL",24.95
52346840,4665,"REBILL",19.95
52346841,4670,"REBILL",24.95
52346842,4708,"REBILL",19.95
52346843,4708,"REBILL",19.95
52346844,4708,"REBILL",19.95
52346845,4709,"REBILL",29.95
52346846,4726,"REBILL",39.95
52346847,4772,"REBILL",32.95
52346848,4772,"REBILL",32.95
52346849,4772,"REBILL",32.95
52346850,4775,"REBILL",24.95
52346851,4818,"REBILL",24.95
52346852,4818,"REBILL",24.95
52346853,4872,"REBILL",19.95
52346854,4879,"REBILL",24.95
52346855,4879,"REBILL",24.95
52346856,4879,"REBILL",24.95
52346857,4879,"REBILL",24.95
52346858,4879,"REBILL",24.95
52346859,4882,"REBILL",32.95
52346860,4904,"REBILL",39.95
52346861,4904,"REBILL",39.95
52346862,4930,"REBILL",29.95
52346863,4930,"REBILL",29.95
52346864,4930,"REBILL",29.95
52346865,4960,"REBILL",32.95
52346866,4960,"REBILL",32.95
52346867,4960,"REBILL",32.95
52346868,4960,"REBILL",32.95
52346869,4960,"REBILL",32.95
52346870,4960,"REBILL",32.95
52346871,4961,"REBILL",39.95
52346872,4972,"REBILL",24.95
52346873,4972,"REBILL",24.95
52346874,4972,"REBILL",24.95
52346875,4972,"REBILL",24.95
52346876,4972,"REBILL",24.95
52346877,4988,"REBILL",32.95
52346878,4988,"REBILL",32.95
52346879,4988,"REBILL",32.95
52346880,4988,"REBILL",32.95
52346881,4988,"REBILL",32.95
52346882,4988,"REBILL",32.95
52346883,4988,"REBILL",32.95
52346884,4988,"REBILL",32.95
52346885,4988,"REBILL",32.95
52346886,4988,"REBILL",32.95
52346887,5030,"REBILL",39.95
52346888,5036,"REBILL",29.95
52346889,5037,"REBILL",39.95
52346890,5037,"REBILL",39.95
52346891,5043,"REBILL",24.95
52346892,5043,"REBILL",24.95
52346893,5043,"REBILL",24.95
52346894,5043,"REBILL",24.95
52346895,5043,"REBILL",24.95
52346896,5043,"REBILL",24.95
52346897,5050,"REBILL",39.95
52346898,5050,"REBILL",39.95
52346899,5054,"REBILL",24.95
52346900,5054,"REBILL",24.95
52346901,5083,"REBILL",39.95
52346902,5083,"REBILL",39.95
52346903,5083,"REBILL",39.95
52346904,5083,"REBILL",39.95
52346905,5083,"REBILL",39.95
52346906,5083,"REBILL",39.95
52346907,5113,"REBILL",24.95
52346908,5121,"REBILL",32.95
52346909,5121,"REBILL",32.95
52346910,5121,"REBILL",32.95
52346911,5121,"REBILL",32.95
52346912,5121,"REBILL",32.95
52346913,5169,"REBILL",19.95
52346914,5169,"REBILL",19.95
52346915,5296,"REBILL",39.95
52346916,5307,"REBILL",24.95
52346917,5339,"REBILL",24.95
52346918,5342,"REBILL",19.95
52346919,5342,"REBILL",19.95
52346920,5342,"REBILL",19.95
52346921,5342,"REBILL",19.95
52346922,5342,"REBILL",19.95
52346923,5342,"REBILL",19.95
52346924,5342,"REBILL",19.95
52346925,5342,"REBILL",19.95
52346926,5342,"REBILL",19.95
52346927,5342,"REBILL",19.95
52346928,5342,"REBILL",19.95
52346929,5342,"REBILL",19.95
52346930,5369,"REBILL",24.95
52346931,5369,"REBILL",24.95
52346932,5369,"REBILL",24.95
52346933,5369,"REBILL",24.95
52346934,5369,"REBILL",24.95
52346935,5383,"REBILL",39.95
52346936,5383,"REBILL",39.95
52346937,5383,"REBILL",39.95
52346938,5426,"REBILL",24.95
52346939,5426,"REBILL",24.95
52346940,5473,"REBILL",29.95
52346941,5474,"REBILL",19.95
52346942,5474,"REBILL",19.95
52346943,5474,"REBILL",19.95
52346944,5474,"REBILL",19.95
52346945,5475,"REBILL",39.95
52346946,5475,"REBILL",39.95
52346947,5475,"REBILL",39.95
52346948,5487,"REBILL",29.95
52346949,5487,"REBILL",29.95
52346950,5493,"REBILL",24.95
52346951,5493,"REBILL",24.95
52346952,5493,"REBILL",24.95
52346953,5493,"REBILL",24.95
52346954,5493,"REBILL",24.95
52346955,5493,"REBILL",24.95
52346956,5493,"REBILL",24.95
52346957,5493,"REBILL",24.95
52346958,5493,"REBILL",24.95
52346959,5493,"REBILL",24.95
52346960,5493,"REBILL",24.95
52346961,5493,"REBILL",24.95
52346962,5493,"REBILL",24.95
52346963,5493,"REBILL",24.95
52346964,5493,"REBILL",24.95
52346965,5493,"REBILL",24.95
52346966,5493,"REBILL",24.95
52346967,5493,"REBILL",24.95
52346968,5493,"REBILL",24.95
52346969,5493,"REBILL",24.95
52346970,5493,"REBILL",24.95
52346971,5493,"REBILL",24.95
52346972,5497,"REBILL",29.95
52346973,5611,"REBILL",19.95
52346974,5660,"REBILL",32.95
52346975,5660,"REBILL",32.95
52346976,5676,"REBILL",29.95
52346977,5676,"REBILL",29.95
52346978,5695,"REBILL",19.95
52346979,5714,"REBILL",39.95
52346980,5729,"REBILL",19.95
52346981,5729,"REBILL",19.95
52346982,5729,"REBILL",19.95
52346983,5729,"REBILL",19.95
52346984,5729,"REBILL",19.95
52346985,5740,"REBILL",19.95
52346986,5752,"REBILL",24.95
52346987,5753,"REBILL",24.95
52346988,5753,"REBILL",24.95
52346989,5753,"REBILL",24.95
52346990,5793,"REBILL",24.95
52346991,5802,"REBILL",39.95
52346992,5802,"REBILL",39.95
52346993,5802,"REBILL",39.95
52346994,5802,"REBILL",39.95
52346995,5841,"REBILL",24.95
52346996,5868,"REBILL",29.95
52346997,5868,"REBILL",29.95
52346998,5903,"REBILL",39.95
52346999,5917,"REBILL",24.95
52347000,5917,"REBILL",24.95
52347001,5941,"REBILL",39.95
52347002,5951,"REBILL",24.95
52347003,5951,"REBILL",24.95
52347004,5951,"REBILL",24.95
52347005,5951,"REBILL",24.95
52347006,5951,"REBILL",24.95
52347007,5951,"REBILL",24.95
52347008,5951,"REBILL",24.95
52347009,5975,"REBILL",29.95
52347010,5998,"REBILL",24.95
52347011,6015,"REBILL",24.95
52347012,6015,"REBILL",24.95
52347013,6019,"REBILL",32.95
52347014,6019,"REBILL",32.95
52347015,6019,"REBILL",32.95
52347016,6019,"REBILL",32.95
52347017,6019,"REBILL",32.95
52347018,6019,"REBILL",32.95
52347019,6019,"REBILL",32.95
52347020,6019,"REBILL",32.95
52347021,6019,"REBILL",32.95
52347022,6019,"REBILL",32.95
52347023,6019,"REBILL",32.95
52347024,6019,"REBILL",32.95
52347025,6019,"REBILL",32.95
52347026,6019,"REBILL",32.95
52347027,6019,"REBILL",32.95
52347028,6019,"REBILL",32.95
52347029,6019,"REBILL",32.95
52347030,6021,"REBILL",29.95
52347031,6022,"REBILL",32.95
52347032,6022,"REBILL",32.95
52347033,6022,"REBILL",32.95
52347034,6022,"REBILL",32.95
52347035,6022,"REBILL",32.95
52347036,6022,"REBILL",32.95
52347037,6022,"REBILL",32.95
52347038,6022,"REBILL",32.95
52347039,6022,"REBILL",32.95
52347040,6022,"REBILL",32.95
52347041,6022,"REBILL",32.95
52347042,6022,"REBILL",32.95
52347043,6022,"REBILL",32.95
52347044,6022,"REBILL",32.95
52347045,6022,"REBILL",32.95
52347046,6022,"REBILL",32.95
52347047,6030,"REBILL",32.95
52347048,6030,"REBILL",32.95
52347049,6030,"REBILL",32.95
52347050,6030,"REBILL",32.95
52347051,6030,"REBILL",32.95
52347052,6041,"REBILL",39.95
52347053,6041,"REBILL",39.95
52347054,6041,"REBILL",39.95
52347055,6050,"REBILL",32.95
52347056,6050,"REBILL",32.95
52347057,6050,"REBILL",32.95
52347058,6050,"REBILL",32.95
52347059,6050,"REBILL",32.95
52347060,6050,"REBILL",32.95
52347061,6050,"REBILL",32.95
52347062,6050,"REBILL",32.95
52347063,6050,"REBILL",32.95
52347064,6053,"REBILL",24.95
52347065,6053,"REBILL",24.95
52347066,6053,"REBILL",24.95
52347067,6053,"REBILL",24.95
52347068,6053,"REBILL",24.95
52347069,6053,"REBILL",24.95
52347070,6053,"REBILL",24.95
52347071,6053,"REBILL",24.95
52347072,6053,"REBILL",24.95
52347073,6060,"REBILL",24.95
52347074,6062,"REBILL",39.95
52347075,6062,"REBILL",39.95
52347076,6062,"REBILL",39.95
52347077,6065,"REBILL",24.95
52347078,6065,"REBILL",24.95
52347079,6065,"REBILL",24.95
52347080,6065,"REBILL",24.95
52347081,6065,"REBILL",24.95
52347082,6065,"REBILL",24.95
52347083,6065,"REBILL",24.95
52347084,6065,"REBILL",24.95
52347085,6065,"REBILL",24.95
52347086,6065,"REBILL",24.95
52347087,6065,"REBILL",24.95
52347088,6089,"REBILL",29.95
52347089,6115,"REBILL",29.95
52347090,6143,"REBILL",24.95
52347091,6143,"REBILL",24.95
52347092,6143,"REBILL",24.95
52347093,6156,"REBILL",24.95
52347094,6206,"REBILL",32.95
52347095,6206,"REBILL",32.95
52347096,6206,"REBILL",32.95
52347097,6206,"REBILL",32.95
52347098,6206,"REBILL",32.95
52347099,6216,"REBILL",29.95
52347100,6220,"REBILL",39.95
52347101,6229,"REFUND",-32.95
52347102,6348,"REBILL",32.95
52347103,6359,"REBILL",39.95
52347104,6372,"REBILL",24.95
52347105,6372,"REBILL",24.95
52347106,6372,"REBILL",24.95
52347107,6375,"REBILL",24.95
52347108,6393,"REBILL",29.95
52347109,6398,"REBILL",39.95
52347110,6420,"REBILL",24.95
52347111,6420,"REBILL",24.95
52347112,6420,"REBILL",24.95
52347113,6420,"REBILL",24.95
52347114,6420,"REBILL",24.95
52347115,6420,"REBILL",24.95
52347116,6420,"REBILL",24.95
52347117,6428,"REBILL",39.95
52347118,6494,"REBILL",32.95
52347119,6494,"REBILL",32.95
52347120,6502,"REBILL",29.95
52347121,6502,"REBILL",29.95
52347122,6515,"REBILL",29.95
52347123,6515,"REBILL",29.95
52347124,6532,"REBILL",19.95
52347125,6532,"REBILL",19.95
52347126,6544,"REBILL",24.95
52347127,6544,"REBILL",24.95
52347128,6544,"REBILL",24.95
52347129,6571,"REBILL",29.95
52347130,6571,"REBILL",29.95
52347131,6574,"REBILL",39.95
52347132,6605,"REBILL",29.95
52347133,6613,"REBILL",39.95
52347134,6613,"REBILL",39.95
52347135,6613,"REBILL",39.95
52347136,6613,"REBILL",39.95
52347137,6613,"REBILL",39.95
52347138,6702,"REBILL",24.95
52347139,6706,"REBILL",24.95
52347140,6724,"REBILL",29.95
52347141,6731,"CHARGEBACK",-39.95
52347142,6736,"REFUND",-29.95
52347143,6736,"REFUND",-29.95
52347144,6736,"REFUND",-29.95
52347145,6736,"REFUND",-29.95
